x,y,z,time
0.4841, 0.4704, 0.5926, 1702254977.981607
0.4841, 0.4714, 0.5936, 1702254978.0816503
0.4851, 0.4724, 0.5945, 1702254978.1817124
0.4841, 0.4714, 0.5926, 1702254978.2816443
0.4841, 0.4714, 0.5936, 1702254978.3820522
0.4841, 0.4714, 0.5926, 1702254978.4897068
0.4841, 0.4714, 0.5936, 1702254978.5817118
0.4851, 0.4714, 0.5926, 1702254978.6816874
0.4851, 0.4714, 0.5926, 1702254978.7817526
0.4851, 0.4714, 0.5936, 1702254978.8816526
0.4841, 0.4714, 0.5936, 1702254978.9817562
0.4851, 0.4714, 0.5926, 1702254979.0816696
0.4851, 0.4714, 0.5926, 1702254979.1816108
0.4841, 0.4714, 0.5936, 1702254979.2817593
0.4851, 0.4714, 0.5936, 1702254979.381706
0.4851, 0.4714, 0.5926, 1702254979.4822712
0.4841, 0.4714, 0.5936, 1702254979.5824568
0.4851, 0.4714, 0.5926, 1702254979.6826732
0.4851, 0.4714, 0.5936, 1702254979.783013
0.4851, 0.4714, 0.5926, 1702254979.8823483
0.4851, 0.4714, 0.5936, 1702254979.9828014
0.4851, 0.4714, 0.5936, 1702254980.0822015
0.4851, 0.4714, 0.5926, 1702254980.1823947
0.4841, 0.4714, 0.5926, 1702254980.2823288
0.4841, 0.4714, 0.5936, 1702254980.3824701
0.4851, 0.4714, 0.5936, 1702254980.482396
0.4851, 0.4714, 0.5926, 1702254980.5823152
0.4851, 0.4714, 0.5936, 1702254980.6823094
0.4851, 0.4714, 0.5936, 1702254980.782215
0.4851, 0.4714, 0.5936, 1702254980.882123
0.4841, 0.4714, 0.5926, 1702254980.982441
0.4841, 0.4714, 0.5936, 1702254981.0823572
0.4851, 0.4714, 0.5945, 1702254981.1822262
0.4851, 0.4714, 0.5936, 1702254981.2823598
0.4841, 0.4704, 0.5936, 1702254981.3839724
0.4851, 0.4704, 0.5936, 1702254981.4824893
0.4851, 0.4714, 0.5936, 1702254981.5823166
0.4851, 0.4714, 0.5906, 1702254981.682352
0.4841, 0.4714, 0.5926, 1702254981.7824783
0.4851, 0.4714, 0.5936, 1702254981.8826668
0.4851, 0.4714, 0.5936, 1702254981.982546
0.4841, 0.4714, 0.5926, 1702254982.0823865
0.4851, 0.4714, 0.5926, 1702254982.182539
0.4841, 0.4714, 0.5936, 1702254982.2825537
0.4841, 0.4714, 0.5936, 1702254982.3828175
0.4841, 0.4714, 0.5926, 1702254982.4822187
0.4841, 0.4714, 0.5936, 1702254982.582307
0.4851, 0.4714, 0.5936, 1702254982.6822083
0.4851, 0.4714, 0.5936, 1702254982.78175
0.4851, 0.4714, 0.5936, 1702254982.881898
0.4841, 0.4714, 0.5936, 1702254982.9821482
0.4851, 0.4714, 0.5936, 1702254983.081967
0.4851, 0.4714, 0.5936, 1702254983.1819916
0.4851, 0.4714, 0.5936, 1702254983.2816665
0.4841, 0.4714, 0.5936, 1702254983.3820202
0.4841, 0.4714, 0.5936, 1702254983.4818265
0.4851, 0.4704, 0.5926, 1702254983.5817366
0.4851, 0.4714, 0.5936, 1702254983.6816356
0.4851, 0.4714, 0.5926, 1702254983.7821093
0.4851, 0.4714, 0.5936, 1702254983.8816664
0.4851, 0.4714, 0.5926, 1702254983.9817536
0.4851, 0.4714, 0.5926, 1702254984.0816505
0.4851, 0.4714, 0.5936, 1702254984.1816583
0.4851, 0.4704, 0.5926, 1702254984.2816725
0.4851, 0.4714, 0.5936, 1702254984.38163
0.4841, 0.4714, 0.5926, 1702254984.4815774
0.4851, 0.4714, 0.5936, 1702254984.5816793
0.4851, 0.4714, 0.5936, 1702254984.6817822
0.4841, 0.4714, 0.5936, 1702254984.7819924
0.4851, 0.4714, 0.5926, 1702254984.881695
0.4841, 0.4714, 0.5936, 1702254984.9820526
0.4841, 0.4704, 0.5936, 1702254985.0820355
0.4851, 0.4704, 0.5926, 1702254985.1816125
0.4812, 0.488 , 0.5936, 1702254985.2816327
0.4822, 0.4812, 0.576 , 1702254985.3817968
0.4763, 0.4617, 0.5515, 1702254985.4816804
0.4861, 0.4744, 0.6229, 1702254985.5816038
0.4734, 0.4724, 0.6014, 1702254985.6816638
0.4792, 0.4773, 0.5896, 1702254985.7817953
0.49  , 0.4773, 0.5838, 1702254985.8816822
0.4841, 0.4704, 0.6082, 1702254985.9819627
0.4792, 0.4734, 0.5838, 1702254986.0817654
0.4792, 0.4734, 0.5711, 1702254986.1817074
0.4763, 0.4714, 0.5965, 1702254986.2820454
0.4919, 0.4597, 0.5779, 1702254986.3816054
0.49  , 0.4695, 0.6512, 1702254986.481643
0.4812, 0.4783, 0.5652, 1702254986.5816922
0.4831, 0.4734, 0.573 , 1702254986.6816347
0.4871, 0.4724, 0.6131, 1702254986.7817042
0.4949, 0.4587, 0.5984, 1702254986.8816965
0.4841, 0.4704, 0.5916, 1702254986.9817076
0.4792, 0.4626, 0.5965, 1702254987.0818577
0.4919, 0.4665, 0.616 , 1702254987.1819358
0.4822, 0.4714, 0.5906, 1702254987.2817695
0.4919, 0.4714, 0.5828, 1702254987.3817105
0.4831, 0.4656, 0.6072, 1702254987.4821146
0.4822, 0.4685, 0.5848, 1702254987.5819147
0.4871, 0.4763, 0.5857, 1702254987.6817298
0.4802, 0.4792, 0.5809, 1702254987.7816198
0.49  , 0.4783, 0.5721, 1702254987.8818283
0.4861, 0.4714, 0.6033, 1702254987.981683
0.4792, 0.4763, 0.5896, 1702254988.0815847
0.4871, 0.4724, 0.5779, 1702254988.1816573
0.4822, 0.4802, 0.6092, 1702254988.2816148
0.4919, 0.4763, 0.5789, 1702254988.381658
0.4871, 0.4607, 0.616 , 1702254988.481924
0.4831, 0.4704, 0.5896, 1702254988.5818214
0.4841, 0.4763, 0.5926, 1702254988.6816292
0.4831, 0.4734, 0.6043, 1702254988.7820187
0.49  , 0.4704, 0.5994, 1702254988.8815668
0.4812, 0.4685, 0.5769, 1702254988.9816773
0.4763, 0.4871, 0.5965, 1702254989.081625
0.4783, 0.4783, 0.5652, 1702254989.1817021
0.4773, 0.4695, 0.6141, 1702254989.2818272
0.489 , 0.4763, 0.5916, 1702254989.381683
0.4831, 0.4656, 0.5809, 1702254989.4816296
0.4822, 0.4695, 0.6092, 1702254989.5816588
0.4812, 0.4802, 0.5818, 1702254989.6818922
0.491 , 0.4734, 0.5691, 1702254989.7820904
0.4851, 0.4646, 0.6004, 1702254989.8816824
0.4841, 0.4685, 0.5877, 1702254989.9820557
0.4802, 0.4695, 0.5818, 1702254990.0818973
0.4812, 0.49  , 0.6043, 1702254990.1818068
0.49  , 0.4695, 0.6141, 1702254990.2816513
0.4851, 0.4665, 0.576 , 1702254990.3816674
0.4871, 0.4724, 0.6238, 1702254990.4816215
0.4812, 0.4783, 0.6268, 1702254990.5816379
0.4812, 0.4744, 0.5965, 1702254990.681682
0.4851, 0.4704, 0.5984, 1702254990.781596
0.49  , 0.4695, 0.5936, 1702254990.881652
0.489 , 0.4792, 0.5896, 1702254990.9818282
0.4949, 0.4704, 0.6365, 1702254991.0817173
0.4841, 0.4802, 0.619 , 1702254991.1817062
0.4861, 0.4519, 0.6063, 1702254991.2819803
0.4763, 0.4763, 0.5965, 1702254991.381627
0.4861, 0.4724, 0.5906, 1702254991.4816976
0.4851, 0.4714, 0.5926, 1702254991.5816524
0.4841, 0.4704, 0.5936, 1702254991.6816676
0.4851, 0.4704, 0.5926, 1702254991.78171
0.4851, 0.4714, 0.5926, 1702254991.88166
0.4851, 0.4714, 0.5936, 1702254991.9816658
0.4851, 0.4704, 0.5936, 1702254992.081638
0.4851, 0.4714, 0.5936, 1702254992.182064
0.4851, 0.4714, 0.5926, 1702254992.2820578
0.4851, 0.4714, 0.5936, 1702254992.3820176
0.4841, 0.4714, 0.5926, 1702254992.4815729
0.4841, 0.4714, 0.5926, 1702254992.5819528
0.4841, 0.4704, 0.5926, 1702254992.6818526
0.4851, 0.4714, 0.5936, 1702254992.7818382
0.4851, 0.4714, 0.5936, 1702254992.8816786
0.4851, 0.4704, 0.5936, 1702254992.9817607
0.4851, 0.4714, 0.5936, 1702254993.0819197
0.4841, 0.4714, 0.5926, 1702254993.1817482
0.4851, 0.4714, 0.5936, 1702254993.2816424
0.4851, 0.4714, 0.5936, 1702254993.3816202
0.4841, 0.4714, 0.5936, 1702254993.4821308
0.4841, 0.4714, 0.5936, 1702254993.581965
0.4851, 0.4704, 0.5926, 1702254993.681668
0.4851, 0.4714, 0.5936, 1702254993.781612
0.4851, 0.4714, 0.5926, 1702254993.8818352
0.4841, 0.4704, 0.5926, 1702254993.9816732
0.4851, 0.4704, 0.5936, 1702254994.0815444
0.4851, 0.4714, 0.5926, 1702254994.1816177
0.4841, 0.4704, 0.5926, 1702254994.2816095
0.4851, 0.4704, 0.5936, 1702254994.3817456
0.4851, 0.4704, 0.5926, 1702254994.481626
0.4841, 0.4714, 0.5926, 1702254994.5815742
0.4851, 0.4714, 0.5926, 1702254994.6816306
0.4841, 0.4704, 0.5916, 1702254994.7816703
0.4851, 0.4714, 0.5936, 1702254994.8816135
0.4851, 0.4714, 0.5936, 1702254994.9817457
0.4851, 0.4704, 0.5926, 1702254995.0817823
0.4851, 0.4714, 0.5936, 1702254995.1820633
0.4851, 0.4704, 0.5926, 1702254995.2819407
0.4851, 0.4714, 0.5926, 1702254995.381634
0.4851, 0.4714, 0.5936, 1702254995.481676
0.4851, 0.4704, 0.5936, 1702254995.581655
0.4841, 0.4714, 0.5926, 1702254995.6816676
0.4841, 0.4714, 0.5926, 1702254995.7816303
0.4851, 0.4714, 0.5936, 1702254995.881667
0.4841, 0.4714, 0.5936, 1702254995.9815958
