x,y,z,time
0.49  , 0.4939, 0.6111, 1702255115.8850782
0.4558, 0.5213, 0.4079, 1702255115.9851084
0.4949, 0.5281, 0.7577, 1702255116.085157
0.49  , 0.5066, 0.5594, 1702255116.1853807
0.4822, 0.4646, 0.6512, 1702255116.2852516
0.5037, 0.4362, 0.5085, 1702255116.385156
0.4919, 0.5085, 0.4724, 1702255116.4856577
0.4949, 0.3796, 0.5125, 1702255116.5854492
0.4939, 0.4656, 0.5975, 1702255116.685352
0.4871, 0.5418, 0.6072, 1702255116.785093
0.4939, 0.4167, 0.6473, 1702255116.8851454
0.4421, 0.4861, 0.3796, 1702255116.985019
0.4753, 0.4919, 0.704 , 1702255117.08512
0.5046, 0.3776, 0.6238, 1702255117.1850982
0.4656, 0.4871, 0.534 , 1702255117.2851055
0.4851, 0.4812, 0.5945, 1702255117.3850486
0.4871, 0.4831, 0.5848, 1702255117.4852145
0.4597, 0.5066, 0.5447, 1702255117.590351
0.4812, 0.4744, 0.5936, 1702255117.6851273
0.4753, 0.4665, 0.5799, 1702255117.7855592
0.4695, 0.4812, 0.616 , 1702255117.8851056
0.4812, 0.4646, 0.5994, 1702255117.9851315
0.4744, 0.4724, 0.5867, 1702255118.0851583
0.4871, 0.4714, 0.5916, 1702255118.1851022
0.4841, 0.4704, 0.5936, 1702255118.2851171
0.4831, 0.4704, 0.5916, 1702255118.385174
0.4841, 0.4724, 0.5926, 1702255118.4851286
0.4851, 0.4695, 0.5936, 1702255118.58516
0.4851, 0.4714, 0.5926, 1702255118.685582
0.4831, 0.4714, 0.5926, 1702255118.7855043
0.4841, 0.4714, 0.5926, 1702255118.8850765
0.4851, 0.4714, 0.5926, 1702255118.9854302
0.4841, 0.4714, 0.5936, 1702255119.085403
0.488 , 0.4871, 0.5906, 1702255119.1854064
0.489 , 0.4695, 0.5887, 1702255119.2851167
0.4861, 0.4382, 0.5848, 1702255119.3851702
0.4812, 0.4792, 0.6043, 1702255119.4850361
0.4841, 0.4724, 0.5965, 1702255119.585184
0.4871, 0.4685, 0.5936, 1702255119.6852062
0.4851, 0.4714, 0.5984, 1702255119.7851255
0.4841, 0.4714, 0.5936, 1702255119.885076
0.4841, 0.4714, 0.5936, 1702255119.9853916
0.4812, 0.49  , 0.6014, 1702255120.0855975
0.4831, 0.4841, 0.615 , 1702255120.1851244
0.4831, 0.4773, 0.5975, 1702255120.2855482
0.4841, 0.4744, 0.5975, 1702255120.3851728
0.4841, 0.4724, 0.5945, 1702255120.4851124
0.4841, 0.4714, 0.5936, 1702255120.5851188
0.4851, 0.4714, 0.5936, 1702255120.6850924
0.4841, 0.4714, 0.5936, 1702255120.7851613
0.4841, 0.4704, 0.5926, 1702255120.8851774
0.4851, 0.4704, 0.5926, 1702255120.9851327
0.4851, 0.4704, 0.5926, 1702255121.0851653
0.4851, 0.4704, 0.5926, 1702255121.1852434
0.4851, 0.4704, 0.5936, 1702255121.2855556
0.4851, 0.4704, 0.5936, 1702255121.385165
0.4841, 0.4704, 0.5926, 1702255121.4856439
0.4841, 0.4714, 0.5936, 1702255121.5855227
0.4851, 0.4704, 0.5936, 1702255121.6852753
0.4841, 0.4714, 0.5926, 1702255121.7850952
0.4841, 0.4704, 0.5926, 1702255121.8851407
0.4851, 0.4704, 0.5916, 1702255121.9850368
0.4851, 0.4704, 0.5945, 1702255122.0852008
0.4851, 0.4695, 0.5926, 1702255122.1851845
0.4841, 0.4724, 0.5926, 1702255122.2851214
0.4831, 0.4695, 0.5955, 1702255122.3850904
0.4861, 0.4704, 0.5926, 1702255122.4854193
0.4841, 0.4704, 0.5926, 1702255122.5851214
0.4851, 0.4714, 0.5936, 1702255122.685162
0.4851, 0.4714, 0.5926, 1702255122.7855785
0.4851, 0.4704, 0.5936, 1702255122.885137
0.4841, 0.4714, 0.5926, 1702255122.9850733
0.4851, 0.4714, 0.5926, 1702255123.0851285
0.4841, 0.4704, 0.5936, 1702255123.1851392
0.4851, 0.4714, 0.5926, 1702255123.2851274
0.4851, 0.4704, 0.5936, 1702255123.3851707
0.4851, 0.4704, 0.5916, 1702255123.4850543
0.4851, 0.4704, 0.5926, 1702255123.5851772
0.4851, 0.4704, 0.5936, 1702255123.6854918
0.4841, 0.4704, 0.5936, 1702255123.7859068
0.4851, 0.4704, 0.5926, 1702255123.885128
0.4841, 0.4714, 0.5936, 1702255123.985656
